magyar;angol
hal;fish
torta;cake
étel;food
sajttorta;cheesecake
csírkehús;chicken
kóla;coke
csipsz;crisps
desszert;dessert
tojás;egg
jégkrém;ice cream
narancslé;orange juice
tészta;pasta
rízs;rice
szendvics;sandwich
öntet, mártás;sauce
leves;soup
cukor;sugar
tea;tea
szardínia;tuna
kolbász;sausages
marhahús;beef
disznóhús;pork
bárányhús;lamb
vaj;butter
sült;fried
közepes;medium
mustár;mustard
hamburger;burger
hal és sültkrumpli;fish and chips
hotdog;hot dog
kebab;kebab
nokedli, galuska;noodles
pizza;pizza
taco;taco
leves;soup
húsleves;meat soup
pulyka;turkey
borjúhús;veal
marha szelet;steak
sültkrumpli;french fries
burgonyapüré;mashed potato
rakottkrumpli;layered potatoes
töltöttkáposzta;stuffed cabbage
pörkölt;stew
hús golyók;meat balls
piskóta;sponge cake
pite;pie
darált hús;minced meat
rétes;strudel
mazsola;raisin
kukorica;corn
